Month Name,Month,Year,Query Count,Query Text,Month Num,RANK,,,,,,,,,,
September,9,2019,"5,610",test,8,1,,,,,,36000 X 5,,,,
September,9,2019,"5,327",directory,8,2,,,,,,Max queries: ,"5,610",,,
January,1,2019,"2,646",Nashville,#N/A,3,,,,,,Year is Number,TRUE,,,
October,,2018,816,annual enrollment,8,4,,,,,,Query Count is number:,TRUE,,,
September,,2018,750,annual enrollment,8,5,,,,,,,Count,Sum,Average,Max
September,,2017,704,annual enrollment,8,6,,,,,,Map searches,126,11503,91.29365079,351
October,10,2019,692,directory,8,7,,,,,,,,,,
October,,2017,648,annual enrollment,8,8,,,,,,,,,,
January,1,2020,577,nashvillecumberlands.gov@gmail.com,#N/A,9,,,,,,,,,,
October,10,2019,548,test,8,10,,,,,,Month Name,Month Num,,,
September,,2016,408,annual enrollment,8,11,,,,,,January           ,1,,,
January,1,2020,358,payroll,#N/A,12,,,,,,February     ,2,,,
September,9,2019,357,Ess,8,13,,,,,,March        ,3,,,
April,,2017,351,maps,#N/A,14,,,,,,April        ,4,,,
April,,2018,345,sheriff,#N/A,15,,,,,,May          ,5,,,
October,,2018,337,human resources,,16,,,,,,June         ,6,,,
October,,2015,336,annual enrollment,,17,,,,,,July         ,7,,,
April,,2017,336,property taxes,,17,,,,,,August       ,8,,,
October,,2017,334,human resources,,19,,,,,,September    ,9,,,
March,,2017,331,maps,,20,,,,,,October      ,10,,,
May,,2017,330,accident report,,21,,,,,,November     ,11,,,
February,,2017,324,property taxes,,22,,,,,,December     ,12,,,
February,2,2020,323,payroll,,23,,,,,,,,,,
September,,2015,320,annual enrollment,,24,,,,,,,,,,
September,,2017,320,human resources,,24,,,,,,,,,,
March,3,2020,318,payroll,,26,,,,,,,,,,
June,,2017,317,human resources,,27,,,,,,TEST,,,,
August,,2017,312,human resources,,28,,,,,,,,,,
April,,2017,305,property tax,,29,,,,,,,,,,
February,,2014,298,ebid,,30,,,,,,,,,,
March,,2017,298,naza,,30,,,,,,,,,,
May,,2018,296,sheriff,,32,,,,,,,,,,
April,,2016,293,Districts,,33,,,,,,,,,,
July,,2017,285,human resources,,34,,,,,,,,,,
May,,2018,284,human resources,,35,,,,,,,,,,
September,,2018,282,human resources,,36,,,,,,,,,,
November,,2016,279,civil service meeting minutes,,37,,,,,,,,,,
December,12,2019,279,Payroll,,37,,,,,,,,,,
September,,2017,278,accident report,,39,,,,,,,,,,
November,11,2019,275,Payroll,,40,,,,,,,,,,
July,,2018,274,human resources,,41,,,,,,,,,,
October,,2018,273,early voting,,42,,,,,,,,,,
March,,2014,270,ebid,,43,,,,,,,,,,
January,,2018,270,human resources,,43,,,,,,,,,,
May,,2017,269,codes,,45,,,,,,,,,,
June,,2018,268,human resources,,46,,,,,,,,,,
March,,2018,267,human resources,,47,,,,,,,,,,
May,,2017,266,maps,,48,,,,,,,,,,
June,,2017,265,maps,,49,,,,,,,,,,
January,,2018,264,employee self service,,50,,,,,,,,,,
January,,2018,256,employment,,51,,,,,,,,,,
July,,2017,255,accident report,,52,,,,,,,,,,
November,,2018,255,human resources,,52,,,,,,,,,,
March,,2017,254,accident report,,54,,,,,,,,,,
March,,2017,252,human resources,,55,,,,,,,,,,
October,,2017,251,accident report,,56,,,,,,,,,,
June,,2016,250,pay plan,,57,,,,,,,,,,
October,,2018,250,accident report,,57,,,,,,,,,,
September,9,2019,247,Payroll,,59,,,,,,,,,,
January,,2018,246,accident report,,60,,,,,,,,,,
August,,2018,246,accident report,,60,,,,,,,,,,
May,,2017,245,human resources,,62,,,,,,,,,,
April,,2018,245,alarm registration,,62,,,,,,,,,,
September,,2018,244,accident report,,64,,,,,,,,,,
August,,2018,243,human resources,,65,,,,,,,,,,
August,,2014,242,ebid,,66,,,,,,,,,,
April,,2014,241,ebid,,67,,,,,,,,,,
March,,2017,240,property maps,,68,,,,,,,,,,
September,,2018,240,maps,,68,,,,,,,,,,
February,,2017,239,property tax,,70,,,,,,,,,,
August,,2017,239,jobs,,70,,,,,,,,,,
November,,2018,239,accident report,,70,,,,,,,,,,
August,,2017,238,maps,,73,,,,,,,,,,
November,,2017,238,human resources,,73,,,,,,,,,,
January,1,2020,238,ESS,,73,,,,,,,,,,
April,,2017,237,human resources,,76,,,,,,,,,,
July,,2017,236,maps,,77,,,,,,,,,,
February,,2017,235,maps,,78,,,,,,,,,,
August,,2017,235,ebid,,78,,,,,,,,,,
April,,2018,235,human resources,,78,,,,,,,,,,
March,,2018,234,property taxes,,81,,,,,,,,,,
October,10,2019,234,ESS,,81,,,,,,,,,,
May,,2014,231,ebid,,83,,,,,,,,,,
October,,2016,230,annual enrollment,,84,,,,,,,,,,
July,7,2019,229,human resources,,85,,,,,,,,,,
March,,2017,227,property taxes,,86,,,,,,,,,,
November,,2018,227,longevity pay,,86,,,,,,,,,,
September,,2016,226,human resources,,88,,,,,,,,,,
August,,2017,225,eclipse,,89,,,,,,,,,,
January,,2018,225,payroll,,89,,,,,,,,,,
August,,2018,225,codes,,89,,,,,,,,,,
October,,2017,224,maps,,92,,,,,,,,,,
November,,2017,224,pension calculator,,92,,,,,,,,,,
January,,2014,223,ebid,,94,,,,,,,,,,
March,,2017,223,alarm registration,,94,,,,,,,,,,
January,1,2019,223,human resources,,94,,,,,,,,,,
August,,2017,222,codes,,97,,,,,,,,,,
September,,2017,222,maps,,97,,,,,,,,,,
May,,2017,221,ebid,,99,,,,,,,,,,
April,,2016,219,District,,100,,,,,,,,,,
March,,2017,219,NAZA,,100,,,,,,,,,,
April,,2017,217,zoning,,102,,,,,,,,,,
December,,2017,217,human resources,,102,,,,,,,,,,
July,,2017,215,codes,,104,,,,,,,,,,
June,,2018,215,ebid,,104,,,,,,,,,,
April,,2017,213,property maps,,106,,,,,,,,,,
July,,2018,213,Nashville,,106,,,,,,,,,,
August,,2017,212,criminal court clerk,,108,,,,,,,,,,
August,,2018,211,civil service,,109,,,,,,,,,,
April,,2018,209,accident report,,110,,,,,,,,,,
June,,2014,207,ebid,,111,,,,,,,,,,
October,,2017,206,codes,,112,,,,,,,,,,
March,,2018,206,sheriff,,112,,,,,,,,,,
February,2,2020,206,ESS,,112,,,,,,,,,,
November,,2017,205,accident report,,115,,,,,,,,,,
February,2,2020,205,property tax,,115,,,,,,,,,,
January,,2015,204,ebid,,117,,,,,,,,,,
June,,2018,204,codes,,117,,,,,,,,,,
July,,2018,204,ebid,,117,,,,,,,,,,
January,1,2020,204,Christmas Tree-cycling,,117,,,,,,,,,,
June,,2017,203,ebid,,121,,,,,,,,,,
June,,2018,203,accident report,,121,,,,,,,,,,
January,1,2019,202,Naza,,123,,,,,,,,,,
